Name,ICAO,Country
Airport Helicopter Basel,AHE,AIRPORT HELICOPTER
Aeroservices Corporate,CJE,France
Aspen Helicopters,AHF,United States
Aerochago Airlines,AHG,Dominican Republic
Airplanes Holdings,AHH,Ireland
Air Hong Kong,AHK,Hong Kong
Aerochiapas,AHP,Mexico
Air Adriatic,AHR,Croatia
Air Viggi San Raffaele,AHS,Italy
ABC Air Hungary,AHU,Hungary
Aeromist-Kharkiv,AHW,Ukraine
Azerbaijan Airlines,AHY,Azerbaijan
Avies,AIA,Estonia
Airbus Industrie,AIB,France
Alpine Air Chile,AIH,Chile
Air Integra,AII,Canada
ABC Aerolineas,AIJ,Mexico
African Airlines International Limited,AIK,Kenya
African International Airways,AIN,Swaziland
Alpine Air Express,AIP,United States
Alicante Internacional Airlines,AIU,Spain
Aba Air,ABP,Czech Republic
Airblue,ABQ,Pakistan
Airmark Aviation,THM,Thailand
Airlift International,AIR,United States
Airest,AIT,Estonia
Air Baffin,BFF,Canada
Air Bandama,BDM,Ivory Coast
Air Berlin,BER,Germany
Air Brousse,ABT,Canada
Air Contractors,ABR,Ireland
Air Illinois,AIL,United States
Air India Limited,AIC,India
Air Inter Gabon,AIG,Gabon
Air Bourbon,BUB,Reunion
Air Atlanta Icelandic,ABD,Iceland
Air Inuit,AIE,Canada
Air Sureste,AIS,Spain
Air Srpska,SBK,Bosnia and Herzegovina
Air Tahiti Nui,THT,France
Airvias S/A Linhas Aereas,AIV,Brazil
Aero Services Executive,BES,France
Atlantic Island Airways,AIW,Canada
Aircruising Australia,AIX,Australia
Aircrew Check and Training Australia,AIY,Australia
Arkia Israel Airlines,AIZ,Israel
A J Services,AJA,United Kingdom
Aero JBR,AJB,Mexico
Aero Jet Express,AJE,Mexico
Avia Consult Flugbetriebs,AJF,Austria
Ameristar Jet Charter,AJI,United States
A2 Jet Leasing,AJJ,United States
Allied Air,AJK,Nigeria
Air Jamaica,AJM,Jamaica
Air One,ADH,Italy
Air Sahara,RSH,India
Air Malta,AMC,Malta
Aeroejecutivo,AJO,Mexico
Aero Jets Corporativos,AJP,Mexico
Aeroejecutivos Colombia,AJS,Colombia
Amerijet International,AJT,United States
Air Jetsul,AJU,Portugal
ANA & JP Express,AJV,Japan
Alpha Jet International,AJW,United States
Air Japan,AJX,Japan
Ajet,AJY,Cyprus
Air Korea Co. Ltd.,AKA,Republic of Korea
Air Livonia,LIV,Estonia
Air BC,ABL,Canada
Air Fret Senegal,ABN,Senegal
Air Jamahiriya Company,LJA,Libya
Aktjubavia,AKB,Kazakhstan
Arca Aerovias Colombianas Ltda.,AKC,Colombia
Anikay Air Company,AKF,Kyrgyzstan
Akhal,AKH,Turkmenistan
Aeromilenio,MNI,Mexico
Aklak Air,AKK,Canada
Air Kiribati,AKL,Kiribati
Alkan Air,AKN,Canada
Angkor Airways,AKW,Cambodia
Air Nippon Network Co. Ltd.,AKX,Japan
AK Navigator LLC,AKZ,Kazakhstan
Aero Albatros,ALB,Mexico
Albion Aviation,ALD,United Kingdom
Aeroalas Colombia,ALE,Colombia
Allied Command Europe (Mobile Force),ALF,Belgium
Aerotaxis Albatros,BTS,Mexico
American Flyers,FYS,United States
Aero Coach Aviation,DFA,United States
Atlantic Southeast Airlines,CAA,United States
ACM Air Charter,BVR,Germany
Air Logistics,ALG,United States
Aerovallarta,ALL,Mexico
Air ALM,ALM,Netherlands Antilles
Air Lincoln,ALN,United States
America West Airlines,AWE,United States
Air Wisconsin,AWI,United States
Aerotransporte de Carga Union,TNO,Mexico
Aero Taxis Cessna,TND,Mexico
Arizona Express Airlines,TMP,United States
Tatarstan Airlines,TAK,Russia
Allegheny Commuter Airlines,ALO,United States
Alpliner AG,ALP,Switzerland
Altair Aviation (1986),ALQ,Canada
Air Luxor STP,ALU,Sao Tome and Principe
Alas de Venezuela,ALV,Venezuela
Alas Nacionales,ALW,ALNACIONAL
Alyeska Air Service,ALY,United States
Alta Flights (Charters) Ltd.,ALZ,Canada
Air Sunshine,RSI,United States
ATMA,AMA,Kazakhstan
Aerolineas Medellin,AMD,Colombia
Ameriflight,AMF,United States
Air Lithuania,KLA,Lithuania
Air Minas Linhas A,AMG,Brazil
Alan Mann Helicopters Ltd.,AMH,United Kingdom
Air Maldives,AMI,Maldives
Aviation Amos,AMJ,Canada
Amerer Air,AMK,Austria
Air Malawi,AML,Malawi
Aeroputul International Marculesti,AMM,Moldova
Air Montenegro,AMN,Montenegro
Air Montreal (Air Holdings Inc.),AMO,Canada
Aero Transporte S.A. (ATSA),AMP,Peru
Aeromedicare Ltd.,AMQ,United Kingdom
Air Specialties Corporation,AMR,United States
Air Muskoka,AMS,Canada
ATA Airlines,AMT,United States
Air Macau,AMU,Macao
AMC Airlines,AMV,Egypt
Air Midwest,AMW,United States
Air Seychelles,SEY,Seychelles
Air Sofia,SFB,Bulgaria
AeroMéxico,AMX,Mexico
Air Ambar,AMY,Dominican Republic
Amiya Airline,AMZ,Nigeria
All Nippon Airways,ANA,Japan
Air Navigation And Trading Co. Ltd.,ANB,United Kingdom
Anglo Cargo,ANC,United Kingdom
Air Nostrum,ANE,Spain
Air Niugini,ANG,Papua New Guinea
Air Arabia,ABY,United Arab Emirates
Air Canada,ACA,Canada
Airport Bratsk,BRP,Russia
Air Wings,BSB,Moldova
Air Baltic,BTI,Latvia
Alajnihah for Air Transport,ANH,Libya
Air Atlantic (Nig) Limited,ANI,Nigeria
Air Nippon,ANK,Japan
Antares Airtransport,ANM,ANTARES
Airnorth,ANO,Australia
Aerol,ANQ,Colombia
Andes Lineas Aereas,ANS,Argentina
Air North Charter - Canada,ANT,Canada
Air Nevada,ANV,United States
AOM French Airlines,AOM,France
Aviacion Del Noroeste,ANW,AVINOR
Air New Zealand,ANZ,New Zealand
Avia Jaynar,SAP,Kazakhstan
Aero Servicios Empresariales,EMS,Mexico
Alcon Servicios Aereos,AOA,ALCON
AVCOM,AOC,Russia
Aero Vodochody,AOD,Czech Republic
Air One Executive,AOE,Italy
Atair Pty Ltd.,AOF,South Africa
Aero VIP,AOG,Argentina
Aeromundo Ejecutivo,MUN,Mexico
Aerolinea Muri,MUR,Mexico
Astoria,AOI,ASTORIA
Aero Rent JSC,NRO,Russia
Aeronord-Grup,NRP,Moldova
Aeroatlantico Colombia,AOK,Colombia
Angkor Airlines,AOL,Cambodia
Aero Entreprise,AON,France
As,AOO,COMPANY AS
Aeropiloto,AOP,Portugal
Aeroenlaces Nacionales,VIV,Mexico
Aerovis Airlines,VIZ,Ukraine
Avjet International (FZE),VJE,United Arab Emirates
Aerovista Gulf Express,VGF,United Arab Emirates
Air Vegas,VGA,United States
Almaver,VER,Mexico
Afro International Ent. Limited,AOR,Nigeria
Alitalia Express,SMX,Italy
Asia Overnight Express,AOT,Philippines
Air Tractor,AOU,Croatia
Aero Vision,AOV,France
Aerotaxi Del Valle,AOX,Colombia
Air Park Aviation Ltd.,APA,Canada
Airpac Airlines,APC,AIRPAC
Aeroservicios Monterrey,SVM,Mexico
Amapola Flyg AB,APF,Sweden
Air People International,APG,Thailand
Alpha Aviation,APH,AIRFLIGHT
ASA Pesada,API,ASA PESADA
Air Print,APJ,AIR PRINT
Atlantic Airlines,BJK,United States
Aerotransporte Petrolero,PET,Colombia
Aero Flight,ARF,Germany
ACM Aviation,BJT,United States
Aircompany Barcol,BKL,Russia
All Charter Limited,BLA,United Kingdom
Appalachian Flying Service,APL,APPALACHIAN
Airpac,APM,ALASKA PACIFIC
Aeropro,APO,Canada
Aerolineas Pacifico Atlantico,APP,AEROPERLAS
Aspen Aviation,APQ,United States
Aeropuma,APU,AEROPUMA
Air Plan International,APV,Democratic Republic of the Congo
Arrow Air,APW,United States
Apex Air Cargo,APX,United States
APA Internacional,APY,Dominican Republic
Aeroatlas,AQA,ATCO
Aquila Air Ltd.,AQL,Canada
Air Queensland,AQN,Australia
Aluminum Company Of America,AQO,United States
Aviones de Renta de Quintana Roo,AQT,AVIOQUINTANA
AirQuarius Aviation,AQU,South Africa
Aerodyne Charter Company,AQZ,United States
Arik Air,ARA,Nigeria
Avia Air N.V.,ARB,Aruba
Air Routing International Corp.,ARC,United States
Aerocondor,ARD,Portugal
Aires,ARE, S.A.
Aerolineas Argentinas,ARG,Argentina
Arrowhead Airways,ARH,United States
Aero Vics,ARI,Mexico
Antillana De Navegacion Aerea,SUN,Dominican Republic
Aeroservicios De San Luis,SUO,Mexico
Aerosuper,SUP,Mexico
Aero Link Air Services S.L.,ARK,Spain
Airlec - Air Aquitaine Transport,ARL,France
Aeromarket Express,ARM,Spain
Arrow Aviation Ltd.,ARO,Canada
RPA-Aviataxi Ltd.,ARP,Russia
Air Klaipeda,KLD,Lithuania
Armstrong Air,ARQ,ARMSTRONG
Air Armenia,ARR,Armenia
Aeromet Servicios,ARS,Chile
Aerotal Aerolineas Territoriales de Colombia Ltda,ART,Colombia
Aravco Ltd.,ARV,United Kingdom
Aria,ARW,France
Air Xpress,ARX,AIREX
Airline Alania,OST,Russia
Air Tchad,HTT,Chad
Aerloineas de Techuacan,HUC,Mexico
Aerotransportes Huitzilin,HUT,Mexico
Aero Transportes Del Humaya,HUY,Mexico
Argosy Airways,ARY,United States
Air Resorts,ARZ,United States
Alaska Airlines,ASA,ALASKA
Air-Spray 1967 Ltd.,ASB,Canada
Air Star Corporation,ASC,Canada
Air Sinai,ASD,Egypt
Airstars,ASE,Russia
Air Schefferville,ASF,SCHEFF
African Star Airways (PTY) Ltd.,ASG,South Africa
Aerosun International,ASI,AEROSUN
Air Satellite,ASJ,Canada
Awesome Flight Services (PTY) Ltd.,ASM,South Africa
Air and Sea Transport,ASN,Russia
Aero Slovakia,ASO,Slovakia
Airsprint,ASP,Canada
Atlantic Southeast Airlines,ASQ,United States
All Star Airlines,ASR,ALL STAR
Air Class,ASS,AIR CLASS
Aerlineas Del Oeste,AST,Mexico
Aviones Are,NRE,Mexico
Air Nepal International,NPL,Nepal
Air Napier,NPR,New Zealand
Air Taxi & Cargo,WAM,Sudan
Arrow Panama,WAP,Panama
Astravia-Bissau Air Transports Ltd.,ASV,Guinea-Bissau
Astrakhan Airlines,ASZ,Russia
Air Transport Association,ATA,United States
Atlantair Ltd.,ATB,Canada
Air Tanzania,ATC,Tanzania
Aerotours Dominicana,ATD,Dominican Republic
Atlantis Transportation Services,ATE,ATLANTIS CANADA
Aerotrans Airline,ATG,Kazakhstan
Air Charter World,XAC,United States
Air Burkina,VBW,Burkina Faso
Air Travel Corp.,ATH,United States
Aero-Tropics Air Services,ATI,Australia
Air Traffic GmbH,ATJ,Germany
AeroTACA,ATK,Colombia
Aerocentral,ATL,Mexico
Airlines Of Tasmania,ATM,Australia
Air Saint Pierre,SPM,France
Air Transport International,ATN,United States
ASTRAL Colombia - Aerotransportes Especiales Ltda.,ATP,Colombia
Air Transport Schiphol,ATQ,Netherlands
Aeroferinco,FEO,Mexico
Aero Taxis Y Servicios Alfe,FES,Mexico
Avialesookhrana,FFA,Russia
Africair Service,FFB,Senegal
Atlas Airlines,ATR,United States
Air Transport Service,ATS,Democratic Republic of the Congo
Aer Turas,ATT,Ireland
Atlant Aerobatics Ltd.,ATU,Hungary
Avanti Air,ATV,Germany
Aero Trades (Western) Ltd.,ATW,Canada
Austrian Airlines,AUA,Austria
Air Southwest,WOW,United Kingdom
Augsburg Airways,AUB,Germany
Air Corporate,CPV,Italy
Aviastar-Tu,TUP,Russia
AirBridge Cargo,ABW,Russia
ATUR,TUR,Ecuador
ATESA Aerotaxis Ecuatorianos,TXU,Ecuador
Austin Express,TXX,United States
Audi Air,AUD,AUDI AIR
Augusta Air Luftfahrtunternehmen,AUF,Germany
Abu Dhabi Amiri Flight,AUH,United Arab Emirates
Aeroflot-Nord,AUL,Russia
Air Atlantic Uruguay,AUM,Uruguay
Aviones Unidos,AUN,Mexico
Avia Business Group,AUP,Russia
Aero Servicios Expecializados,SVE,Mexico
Aurigny Air Services,AUR,United Kingdom
Aus-Air,AUS,Australia
Austral Lineas Aereas,AUT,Argentina
Aurora Aviation,AUU,AURORA AIR
Air Uganda International Ltd.,AUX,Uganda
Aerolineas Uruguayas,AUY,AUSA
Australian Airlines,AUZ,Australia
Avianca - Aerovias Nacionales de Colombia,AVA,AVIANCA
Aviation Beaufort,AVB,United Kingdom
Alamo Aviacion,AVD,ALAMO
Aviair Aviation Ltd.,AVF,Canada
Air Falcon,AVG,Djibouti
AV8 Helicopters,AVH,United Kingdom
Avia Traffic Company,AVJ,Kyrgyzstan
AV8 Helicopters,AVK,South Africa
Aviacion Ejecutiva Mexicana,AVM,AVEMEX
Air Vanuatu,AVN,Vanuatu
Aviation at Work,AVO,South Africa
Avcorp Registrations,AVP,United Kingdom
Alfa Aerospace,LFP,Australia
Atlantic Airfreight Aviation,LFR,Sao Tome and Principe
Aerolift Company,LFT,Sierra Leone
Aviation Services,AVQ,AQUILINE
Active Aero Charter,AVR,ACTIVE AERO
Avialsa T-35,AVS,Spain
Asia Avia Airlines,AVT,Indonesia
Avia Sud A,AVU,France
Airvantage Incorporated,AVV,United States
Aviator Airways,AVW,Greece
Aviapaslauga,AVX,Lithuania
ASL,XXX,Belgium
Air Yugoslavia,YRG,Serbia
Airlink Zambia,ZAK,Zambia
Agence Nationale des Aerodromes et de la Meteorologie,ZZM,Ivory Coast
Airbus Transport International,BGA,France
Air Bangladesh,BGD,Bangladesh
Aviodetachment-28,BGF,Bulgaria
Aero BG,BGG,Mexico
Aerotaxis De La Bahia,BHC,Mexico
Air Mediterranee,BIE,France
Aviaservice,BIV,Georgia
Aerolineas De El Salvador,SZA,El Salvador
Swaziland Airlink,SZL,Swaziland
Air Moorea,TAH,France
Aerovaradero,AVY,AEROVARADERO
Air Valencia,AVZ,Spain
Airways International,AWB,AIRNAT
Airwork,AWK,New Zealand
Australian Wetleasing,AWL,Australia
Air Niamey,AWN,Niger
Awood Air Ltd.,AWO,Canada
Arctic Wings And Rotors Ltd.,AWR,Canada
Auo Airclub AIST-M,ISM,Russia
Arab Wings,AWS,Jordan
Air West,AWT,Canada
Aeroline GmbH,AWU,Germany
Airwave Transport,AWV,AIRWAVE
Air Wales,AWW,United Kingdom
Aeroway,AWY,AEROWEE
Air Caraïbes,FWI,France
AirWest,AWZ,Sudan
Air India Express,AXB,India
Air Express,AXD,Sudan
Asian Express Airlines,AXF,Australia
Aeromexhaga,AXH,Mexico
Aeron International Airlines,AXI,AIR FREIGHTER
African Express Airways,AXK,Kenya
Air Exel,AXL,Netherlands
AirAsia,AXM,Malaysia
Alexandair,AXN,Greece
Aeromax,AXP,Spain
Action Airlines (Action Air Charter),AXQ,United States
Alberni Airways,BNI,Canada
Aerolineas Bonanza,BNZ,Mexico
Aerobona,BOC,Mexico
Aboitiz Air,BOI,Philippines
Axel Rent,AXR,RENTAXEL
Altus Airlines,AXS,United States
Aviaxess,AXV,France
Avioimpex A.D.p.o.,AXX,Macedonia
Axis Airways,AXY,France
Aladia Airlines,AYD,Mexico
Aykavia Aircompany,AYK,Armenia
Airman,AYM,AIRMAN
Atlantic Airlines,AYN,ATLANTIC NICARAGUA
Awsaj Aviation Services,AYS,Libya
Ayeet Aviation & Tourism,AYT,Israel
Atlant-Soyuz Airlines,AYZ,Russia
Alitalia,AZA,Italy
Azamat,AZB,Kazakhstan
Arcus-Air Logistic,AZE,Germany
Air Zermatt AG,AZF,Switzerland
Azalhelikopter,AZK,Azerbaijan
Africa One,AZL,Zambia
Aerocozumel,AZM,Mexico
Amaszonas,AZN,Bolivia
Arizona Pacific Airways,AZP,United States
Aviacon Zitotrans Air Company,AZS,Russia
Azimut,AZT,AZIMUT
Azov Avia Airlines,AZV,Ukraine
Air Zimbabwe,AZW,Zimbabwe
Aero Jomacha,MHC,Mexico
Air Memphis,MHS,Egypt
Air Memphis,MHU,Uganda
Air Marrakech Service,MKH,Morocco
Air Max Africa,AZX,Gabon
Arizona Airways,AZY,ARIZAIR
Azza Transport,AZZ,Sudan
Air Continental Inc,NAR,United States
Antanik-Air,NAU,Ukraine
Air Newark,NER,United States
Aircraft Support and Services,NFF,Lebanon
Aerobanana,OBA,Mexico
Amako Airlines,OBK,Nigeria
Aserca Airlines,OCA,Venezuela
Afrique CArgo Service Senegal,NFS,Senegal
Angoservice,NGC,Angola
Angel Airlines,NGE,Thailand
Angel Flight America,NGF,United States
Air Atonabee,OUL,Canada
Aero Nova,OVA,Spain
Amira Air,XPE,Austria
Aero Express Intercontinental,XSS,Mexico
Advance Aviation Services,XTJ,United States
Air Libya Tibesti,TLR,Libya
Aerovic,OVC,Ecuador
Airventure,RVE,Belgium
Aero Servicios,RVI,Mexico
Airvallee,RVL,Italy
Aeromover,OVE,Mexico
Aerovias Ejecutivas,OVI,Mexico
Aero Servicio Pity,PTD,Mexico
Aero Copter,PTE,Mexico
Rossiya-Russian Airlines,SDM,Russia
Air Pal,PLL,Spain
Air Pullmantur,PLM,Spain
Aviaexpress,AEH,Hungary
Aviones Para Servirle,PSG,Mexico
Avio Sluzba,SLU,Serbia
Air Scorpio,SCU,Bulgaria
Air Spirit,SIP,United States
Alatau Airlines,BMV,Kazakhstan
Aviateca,GUG,Guatemala
Aroostook Aviation,PXX,United States
Aeropycsa,PYC,Mexico
Association of Private Pilots of Kazakhstan,PVK,Kazakhstan
The Amiri Flight,BAH,Bahrain
Aero Services,BAS,Barbados
Ababeel Aviation,BBE,Sudan
Air Bashkortostan,BBT,Russia
Ambulance Air Africa,MCY,South Africa
American Eagle Airlines,EGF,United States
Aeropuelche,PUE,Chile
Aeroput,PUT,Serbia
Azzurra Air,AZI,Italy
AD Aviation,VUE,United Kingdom
Aero Costa Taxi Aereo,XCT,Mexico
Aerovitro,VRO,Mexico
Aerotaxi Villa Rica,VRI,Mexico
Aerovega,VEG,Mexico
Aerovilla,VVG,Colombia
Aerolineas Villaverde,VLR,Mexico
Aero Air,WIL,United States
Aero Ejecutivos,VEJ,Venezuela
Aero Industries Inc,WAB,United States
Aero Servicios Vanguardia,VNG,Mexico
Aero Taxi Los Valles,VAD,Spain
Aero Vilamoura,VMR,Portugal
Aero Virel,VLS,Mexico
Aeronautical Radio Inc,XAA,United States
Aerovuelox,VUO,Mexico
Aeronaves TSM,VTM,Mexico
Air Ivoire,VUN,Ivory Coast
Air Botswana,BOT,Botswana
Air-Rep,XPR,United States
Air Excel,XLL,Tanzania
Air Evans,VAE,Spain
Air Sorel,WHY,Canada
Air Net Private Charter,WDR,United States
Air Executive Charter,XEC,Germany
Air Foyle,UPA,United Kingdom
Air Midwest,VTY,Nigeria
Air Tahiti,VTA,French Polynesia
Air Urga,URG,Ukraine
Air Vardar,VDR,Macedonia
Air VIA,VIM,Bulgaria
Air Walser,WLR,Italy
Aircompany Rosavia,URA,Ukraine
Aircraft Performance Group,XLB,United States
Airwaves Airlink,WLA,Zambia
Airways Corporation of New Zealand,XFX,New Zealand
Airways,WAY,France
Airwings oy,WGS,Finland
Airkenya,XAK,Kenya
Air-Lift Associates,WPK,United States
Airtrans Ltd,VAB,Russia
ARP 410 Airlines,URP,Ukraine
Auckland Regional Rescue Helicopter Trust,WPR,New Zealand
Aurora Airlines,URR,Slovenia
Austro Aereo,UST,Ecuador
Aviation Partners,WLT,United States
Avialift Vladivostok,VLV,Russia
Aviacion Comercial de America,VME,Mexico
Aviast Air,VVA,Russia
Aviation North,WLV,United States
Africa West,WTA,Togo
Avient Air Zambia,VNT,Zambia
Aviazur,VZR,France
Aviaprad,VID,Russia
Avirex,VXG,Gabon
Aviaexpress Aircompany,VXX,Ukraine
AMR Services Corporation,XAM,United States
Airline Operations Services,XAO,United States
Airlines 400,VAZ,Russia
ATRAN Cargo Airlines,VAS,Russian Federation
Ameravia,VAM,Uruguay
Angkor Air,VAV,Cambodia
AVB-2004 Ltd,VBC,Bulgaria
ASECNA,XKX,France
AT and T Aviation Division,XAT,United States
Avalair,VAI,Serbia
Averitt Air Charter,VRT,United States
Avensa,AVE,Venezuela
Avolar Aerolineas,VLI,Mexico
Avstar Aviation,VSA,South Africa
AVESCA,VSC,Colombia
Aviaprom Enterprises,XAV,Russia
Avia Trans Air Transport,VTT,Sudan
Aviostart AS,VSR,Bulgaria
Aviacao Transportes Aereos e Cargas,VTG,Angola
Assistance Aeroportuaire de L'Aeroport de Paris,XJA,France
American Flight Service Systems,XFS,United States
AASANA,XXV,Bolivia
Australian air Express,XME,Australia
AMS Group,XMG,Russia
Air Caraibes Atlantique,CAJ,France
Air China Cargo,CAO,China
Aerovias Caribe,CBE,Mexico
Aerotaxi del Cabo,CBO,Mexico
Air Columbus,CBS,Ukraine
Aero Cabo,CBV,Mexico
Air China,CCA,China
Aerocardal,CDA,Chile
Aero Condor Peru,CDP,Peru
Aerotrans,CDU,Russia
Airline Skol,CDV,Russia
Aerofan,CFF,Spain
ACEF,CFM,Portugal
Africa One,CFR,Democratic Republic of the Congo
Aero Calafia,CFV,Mexico
Air Cargo Belize,CGB,Belize
Aero Clube Do Algarve,CGV,Portugal
Air Great Wall,CGW,China
Aircompany Chaika,CHJ,Ukraine
Air Charter Services,CHR,Democratic Republic of the Congo
Air Charter Professionals,CHV,United States
Asia Continental Airlines,CID,Kazakhstan
Arctic Circle Air Service,CIR,United States
Aviation Charter Services,CKL,United States
Aerovias Castillo,CLL,Mexico
Aero Club De Portugal,CLP,Portugal
Air Care Alliance,CMF,United States
Aero Continente Dominicana,CND,Dominican Republic
Air Toronto,CNE,Canada
